userId,movieId,rating,timestamp
1,1,5,1577836800
1,3,5,1577923200
1,9,4,1578009600
1,12,5,1593561600
2,1,5,1578096000
2,3,4,1578182400
2,9,5,1578268800
2,7,4,1593648000
3,2,5,1578355200
3,4,4,1578441600
3,8,5,1578528000
3,5,4,1593734400
4,2,4,1578614400
4,4,5,1578700800
4,5,5,1578787200
4,8,4,1593820800
5,1,4,1578873600
5,2,5,1578960000
5,6,4,1579046400
5,10,5,1593907200
6,3,5,1579132800
6,6,4,1579219200
6,10,5,1579305600
6,1,4,1593993600
7,7,5,1579392000
7,9,4,1579478400
7,12,5,1579564800
7,3,4,1594080000
8,5,5,1579651200
8,8,4,1579737600
8,11,5,1579824000
8,4,4,1594166400
9,2,5,1594252800
9,4,4,1594339200
10,4,5,1579910400
10,11,4,1579996800
10,8,5,1580083200
